Site ID,Description,Source Address,Latitude,Longitude
740,Lake Houston @ FM 1960,43179,30.016032,-95.121808
750,Lake Houston Dam Spillway,43081,29.916112,-95.141641
755,San Jacinto River @ Kingwood Country Club,43082,30.028132,-95.19654
760,San Jacinto River @ US 59,43083,30.026775,-95.257999
765,San Jacinto @ SH 99,43175,30.141217,-95.338315
780,Caney Creek @ FM 2090,43176,30.259784,-95.302114
785,Peach Creek @ FM 2090,43177,30.232609,-95.168007
790,East Fork San Jacinto @ FM 1485,43084,30.145153,-95.125124
795,East Fork San Jacinto @ FM 2090,43178,30.214124,-95.10292
820,Hunting Bayou @ I-10,43085,29.771615,-95.227954
830,Hunting Bayou @ Loop 610 East,43086,29.793569,-95.267971
840,Hunting Bayou @ Lockwood Drive,43087,29.808772,-95.312927
920,Vince Bayou @ West Ellaine Down Stream,43088,29.694493,-95.21614
940,Little Vince Bayou @ Jackson Avenue,43089,29.705491,-95.200141
1000,Houston Transtar,43090,29.782684,-95.439563
1020,NRG Park,43091,29.68798,-95.412726
1040,Spring Creek @ FM 2978,43092,30.134077,-95.596571
1050,Spring Creek @ I-45,43093,30.109633,-95.436785
1052,Mill Creek @ FM 149,43185,30.185636,-95.681837
1054,Mill Creek @ FM 1486,43186,30.238181,-95.770421
1055,Bear Branch @ Kuykendahl,43188,30.196484,-95.535489
1056,Mill Creek @ FM 1774,43189,30.298096,-95.835022
1060,Spring Creek @ Kuykendahl Road,43094,30.170279,-95.541396
1070,Spring Creek @ SH 249,43095,30.119699,-95.645868
1072,Walnut Creek @ Nichols Sawmill,43187,30.143696,-95.752812
1074,Walnut Creek @ Joseph Road,43165,30.178866,-95.809912
1075,Tomball Repeater,43183,30.0964515,-95.6573377
1076,Birch Creek @ Riley Road,43166,30.237906,-95.839529
1080,Spring Creek @ Cypress Rosehill,43199,30.099319,-95.702029
1084,Three Mile Creek @ Joseph Road,43167,30.152994,-95.863216
1086,Three Mile Creek @ FM 362,43168,30.193345,-95.933637
1090,Spring Creek @ Hegar Road,43096,30.085697,-95.841879
1110,Cypress Creek @ Cypresswood Drive,43097,30.031016,-95.330033
1115,Cypress Creek @ Inverness Forest,43098,30.034738,-95.409868
1120,Cypress Creek @ I-45,43099,30.036344,-95.428694
1130,Cypress Creek @ Kuykendahl Road,43100,30.023755,-95.475879
1140,Cypress Creek @ Stuebner-Airline Road,43101,30.006281,-95.511647
1150,Cypress Creek @ SH 249,43102,29.985654,-95.569924
1160,Cypress Creek @ Grant Road,43103,29.973483,-95.598483
1165,Cypress Creek @ Eldridge Parkway N.,43104,29.966174,-95.607602
1170,Cypress Creek @ Huffmeister Road,43105,29.961554,-95.631215
1175,Cypress Creek @ US 290,43106,29.95686,-95.6782
1180,Cypress Creek @ Katy-Hockley Road,43107,29.950388,-95.808312
1185,Cypress Creek @ Sharp Road,43108,29.921049,-95.840178
1186,Live Oak @ Penick Road,43169,29.948015,-95.924128
1190,Little Mound Creek @ Mathis Road,43109,30.005339,-95.907953
1195,Mound Creek @ FM 362,43170,30.043079,-95.936264
1210,Little Cypress Creek @ Kluge Road,43110,29.977553,-95.630248
1220,Little Cypress Creek @ Cypress Rosehill Road,43111,30.01593,-95.697286
1230,Little Cypress Creek @ Becker Road,43112,30.027473,-95.799237
1320,Willow Creek @ Kuykendahl Road,43113,30.105339,-95.546382
1340,Willow Creek @ SH 249,43114,30.063023,-95.620855
1420,Carpenters Bayou @ I-10,43115,29.771535,-95.149022
1440,Carpenters Bayou @ Wallisville Road,43116,29.809924,-95.158445
1460,Carpenters Bayou @ US 90,43117,29.838598,-95.160484
1520,Goose Creek @ SH 146,43118,29.713447,-94.990514
1540,Goose Creek @ Baker Road,43119,29.770944,-94.999611
1600,Greens Bayou @ Mount Houston Parkway,43120,29.891907,-95.237623
1610,Greens Bayou @ Normandy Street,43121,29.776023,-95.206451
1620,Greens Bayou @ Ley Road,43122,29.837012,-95.233773
1630,Garners Bayou @ Beltway 8,43123,29.933648,-95.233574
1640,Greens Bayou @ US 59,43124,29.91791,-95.306565
1645,Greens Bayou @ Beltway 8,43125,29.938692,-95.34932
1650,Garners Bayou @ Rankin Road,43126,29.965025,-95.271954
1655,1655 North Fork Greens Bayou @ Ella,43200,29.972595,-95.435011
1660,Greens Bayou @ Knobcrest Drive,43127,29.956166,-95.416142
1665,Greens Bayou @ Bammel N Houston Road,43128,29.948488,-95.498006
1670,Greens Bayou @ Cutten Road,43129,29.948972,-95.51941
1675,Halls Bayou @ Tidwell Road,43130,29.849306,-95.282843
1680,Halls Bayou @ Jensen Drive,43131,29.861698,-95.334883
1685,Greens Bayou @ Tidwell Road,43132,29.849798,-95.229007
1690,Halls Bayou @ Airline Drive,43133,29.892682,-95.396717
1695,P138 @ Aldine Westfield Road,43134,29.917302,-95.355514
1720,Cedar Bayou @ SH 146,43135,29.769851,-94.916822
1725,Smith Gully @ SH146,43174,29.826742,-94.897975
1730,Cedar Bayou @ FM1942,43162,29.849395,-94.947525
1740,Cedar Bayou @ US 90,43136,29.97209,-94.985937
1840,Gum Gully @ Diamond Head Boulevard,43137,29.910874,-95.09085
1930,Huffman Repeater,43184,30.038554,-95.071971
1940,Luce Bayou @ FM ,43138,30.066797,-95.098243
2010,Barker Dam,43139,29.76986,-95.646848
2015,Clodine Ditch @ Grand Mission,43198,29.694303,-95.717648
2020,Mason Creek @ Prince Creek Drive,43140,29.76716,-95.728164
2025,Buffalo Bayou @ Peek Road,43163,29.722212,-95.767445
2030,Buffalo Bayou @ Greenbusch Road,43164,29.743106,-95.807036
2040,Buffalo Bayou @ US 90,43141,29.785685,-95.827024
2050,Cane Island Parkway @ Clay Road,43171,29.831083,-95.836824
2060,Willow Creek @ Pederson,43172,29.770608,-95.880975
2090,Brookshire Drainage @ Morrison,43173,29.888456,-95.940939
2110,Addicks Dam,43142,29.790908,-95.62357
2115,Langham Creek @ Clay Rd,43181,29.835918,-95.625928
2120,Langham Creek @ West Little York Road,43143,29.867456,-95.647061
2130,Horsepen Creek @ Trailside Drive,43144,29.883876,-95.634673
2140,Langham Creek @ Longenbaugh Road,43145,29.895138,-95.696832
2150,South Mayde @ Greenhouse Road,43146,29.802411,-95.703888
2160,Bear Creek @ Clay Road,43147,29.831211,-95.687108
2170,South Mayde Creek @ Morton Road,43148,29.816945,-95.74048
2180,Bear Creek @ FM 529,43149,29.875125,-95.769477
2190,South Mayde Creek @ Peek Road,43150,29.851108,-95.773611
2210,Buffalo Bayou @ Turning Basin,43152,29.749171,-95.291331
2220,Buffalo Bayou @ Milam Street,43153,29.764808,-95.361102
2240,Buffalo Bayou @ Shepherd Drive,43154,29.760145,-95.408655
2250,Spring Branch @ Bingle Road,43155,29.796238,-95.500348
2253,Buttermilk Creek @ Moorberry Lane,43195,29.815944, -95.532730
2255,Briar Branch @ Campbell Road,43161,29.78962,-95.5139
2260,Buffalo Bayou @ San Felipe Drive,43156,29.751207,-95.505614
2265,Buffalo Bayou @ Piney Point Rd,43180,29.747136,-95.523656
2270,Buffalo Bayou @ West Beltway 8,43157,29.762026,-95.557476
2280,Rummel Creek @ Brittmoore Road,43158,29.778606,-95.570092
2290,Buffalo Bayou @ Dairy Ashford Road,43159,29.761605,-95.606088
